Fecha,Autor_ID,Contenido
2025-06-17 01:43:16+00:00,1452611137,"Toda la monada repitiendo la misma bajada de línea... ""Le robó a los ricos para dársela a los pobres""

Ya salieron las figuritas de Cristina Hood! No te las pierdas!!! 

😂😂😂 https://t.co/mRvt4WR7eX"
2025-06-17 01:43:15+00:00,261470273,"Probado en primera instancia. 
Probado en segunda instancia. 
Probado en tercera instancia. 
El proceso judicial respecto de CFK concluyó en todas sus distintas instancias.
Los tribunales competentes consideraron probado el delito de corrupción y robo en el caso en cuestión. CFK"
2025-06-17 01:43:12+00:00,1500029772511911937,"💥AHORA Cristina saluda a la multitud en la previa de la marcha histórica del próximo miércoles
#CristinaLibre
#ArgentinaConCristina https://t.co/fNxAtUAs7K"
2025-06-17 01:43:06+00:00,159844494,Cristina 🎶Cristina Corazón https://t.co/kRPePh1TNL
2025-06-17 01:43:01+00:00,1210369662728507394,"Al que Cristina llamaba ""boludo "" va seguir siendo, ahora un pelotudo!!! https://t.co/akXA6rBdAn"
2025-06-17 01:42:58+00:00,4919962521,"En el Instituto Patria se realizó una reunión de ""Internacionales con Cristina"", espacio integrado por compañeras y compañeros de todos los espacios políticos, argentinos en el exterior, organizaciones gremiales y sociales. https://t.co/PsCDCI5q2S"
2025-06-17 01:42:56+00:00,1887166926255722496,"Si cualquier ciudadano común debe responder ante la Justicia por corrupción, ¿por qué Cristina Kirchner debería ser la excepción? La igualdad ante la ley es un principio básico de la democracia. Si hay pruebas, debe haber juicio, y si hay condena, debe haber prisión."
2025-06-17 01:42:51+00:00,1892241955326709760,"@Osofranco @la_campora @Pipiperonchook Con quién te la vas a agarrar cuando se dicte sentencia de Hotesur, memorandum de Irán, cuadernos, aviones ... si se suman 6 mas 6 mas 6 mas 6 mas 6, se te fue mami para siempreeeeee"
2025-06-17 01:42:49+00:00,1372687472572960771,@edufeiok Pero escúchame Eduardito! Estas todo el día hablando de Cristina. Ponete de acuerdo!
2025-06-17 01:42:40+00:00,2218275474,"@lilialemoine La gente ama a Cristina. Se trata de amor, no tiene nada que ver con lo físico. Pero claro, no lo entenderías."
2025-06-17 01:42:39+00:00,1712454869653569536,"@JosefaNorm64059 @edufeiok A Cristina no la pasan más x un canal.
Pero el mayor chorro de la historia como dice Milei en este video sigue siendo el ministro de economía caputto y este cuando va a ir preso me preguntó yo.
Porque lo dice en este video el mismo Milei. https://t.co/Sfnupd9oEG"
2025-06-17 01:42:39+00:00,1750205533871620097,@Reescritura1 Cristina es la única con condena firme e inhabilitación perpetua para ejercer cargos públicos por robar la plata de la gente. Abrazo.
2025-06-17 01:42:37+00:00,1926782728059465728,"POLÍTICA

Feriado nacional por el Paso a la Inmortalidad de Güemes 🇦🇷

Cristina Kirchner en el centro del debate: organizaciones denuncian uso político del Poder Judicial.

Ambiente político caldeado de cara a la segunda mitad del año."
2025-06-17 01:42:36+00:00,1893365618973515777,@cyngarciaradio Cristina NO es Peronismo
2025-06-17 01:42:32+00:00,1560328614234804225,"@NoPriny44882 MACRI (2017) + CFK/MASSA (2021) + MILEI (2024)
SE VIENEN LOS REFUGIADOS SIONISTAS
A #ANDINIA CON SEGURIDAD SOCIAL !!!
Ciudad de Buenos Aires, 08/09/2021
CLAUDIA LEDESMA ABDALA - SERGIO MASSA
Ley 27641
Aprobación.

El Senado y Cámara de Diputados de la Nación Argentina reunidos en"
2025-06-17 01:42:24+00:00,133528409,@AbogadoDijo Ese cerebro privilegiado que creció a la par del Plan Conectar Igualdad y la Década Ganada... Lo orgullosa que Cristina está de Quimey... Un exponente nato de su adoctrinamiento cultural.
2025-06-17 01:42:19+00:00,1913695548172902400,@Joepsi Dile a Cristina que devuelva el dinero que se robó...
2025-06-17 01:42:19+00:00,1591418116692639746,@fuansann ya se gordo si la captura es mas vieja que cristina presidenta
2025-06-17 01:42:19+00:00,1564039134385242112,"@ElpapadePopy @Farodelibertad_ @VivianaaFerrari la segunda marca de los K, pusieron de vicepresidente al tipo que le dejó los fueros a CFK y a su ministro de economía. No les da la cara https://t.co/iu3N017rzj"
2025-06-17 01:42:17+00:00,1698404058359328768,@indignadoxd @edufeiok Soy jubilada y no estoy con Cristina ok
2025-06-17 01:42:15+00:00,1568415631527055363,@lgambaroni @elbombanqn @aleberco bueee pero Maximo Kirchner arranco con mas plata y sólo jugo a la play...digamos todo
2025-06-17 01:42:15+00:00,163731133,"@SonyerOriginal Lo decis por el descargo de villaruel sobre la condena de Cristina?
Yo aun no caigo, no me esperaba lo que dijo."
2025-06-17 01:42:14+00:00,2260626782,"@edufeiok Lo mejor que podes hacerle a cristina es ignorarla, si los medios no le dan camara se suicida al mes"
2025-06-17 01:42:14+00:00,74858975,@Poggi Cristina
